しゅっちょうします-3,しゅっちょうして,go on a business trip
くすりのみます-1,くすりのんで,take medicine
おふろにはいります-1,おふろにはいって,take a bath
できます-2,できて,"be able to, can"
あらいます-1,あらって,wash
ひきます-1,ひいて,"play (stringed instrument or piano, etc.)"
うたいます-1,うたって,sing
あつめます-1,あつめて,"collect, gather"
すてます-1,すてて,throw away
かえます-2,かえて,"exchange, change"
うんてんします-3,うんてんして,drive
よやくします-3,よやくして,"reserve, book"
けんがくします-3,けんがくして,visit some place for study
おいのりをします-3,おいのりをして,pray
のぼります-1,のぼって,climb
やまにのぼります-1,やまにのぼって,climb a mountain
とまります-1,とまって,stay
ホテルにとまります-1,ホテルにとまって,stay at a hotel
そうじします-3,そうじして,clean (a room)
せんたくします-3,せんたくして,wash (clothes)
れんしゅうします-3,れんしゅうして,practice
なります-1,なって,become
ゴルフをします-3,ゴルフをして,play golf
パチンコをします-3,パチンコをして,play pachinko
ダイエットをします-3,ダイエットをして,go on a diet
いります-1,いって,"need, require"
ビザがいります-1,ビザがいって,"need, require a visa"
しらべます-1,しらべて,"check, investigate"
なおします-3,なおして,"repair, correct"
しゅうりします-3,しゅうりして,repair
でんわします-3,でんわして,to phone
