新,あたらしい,new
馬,うま,horse
駅,えき,station
魚,さかな,fish
米,こめ,rice
来,くる,come
雨,あめ,rain
雨,あめ,radical: rain
電,でん,electricity
気,き,spirit or energy
車,くるま,car or vehicle
空,そら,sky or empty
社,しゃ,company or shrine
内,うち,inside
長,ながい,long or leader
木,き,radical: tree
交,こう,radical: mix or cross
校,こう,school
会,あう,meet
寸,すん,radical: measurement
寺,てら,temple
待,まつ,wait
時,とき,time or hour
