新,あたらしい,new
馬,うま,horse
駅,えき,station
魚,さかな,fish
米,おこめ,rice
来,くる,to come
雨,あめ,rain
電,でんき,electricity/light
気,きぶん,feeling/mood
車,くるま,car
空,そら,sky
社,かいしゃ,company
内,うちださん,within (used in compound)
長,ながい,long
学,がっこう,school
会,あう,to meet
寺,おてら,temple (Buddhist)
待,まつ,to wait
時,ときどき,sometimes/occasionally
