一,いち,one
二,に,two
三,さん,three
山,やま,mountain
川,かわ,river
目,め,eye
口,くち,mouth
人,ひと,person
木,き,tree
休,やすむ,rest
本,ほん,book/origin
体,からだ,body
田,た,rice field
力,ちから,strength/power
男,おとこ,man
女,おんな,woman
安,やすい,peace/cheap/safe
上,うえ,up/above
下,した,down/below
中,なか,middle/inside
大,おおきい,large/big
太,ふとい,thick/fat
小,ちいさい,small
少,すこし,few/little
入,はいる,enter
出,でる,exit/go out
子,こども,child
学,がくせい,student 
四,よん,four
五,ご,five
六,ろく,six
七,なな,seven
八,はち,eight
九,きゅう,nine
十,じゅう,ten
古,ふるい,old
